Filename,Transcription,Status
person_5_Nun ghatau far.wav,1 kg गाताओ,Success
person_1_चामल एक किलो थप - Clear.wav,चामल एक किलू थब�.,Success
person_5_Dal thapa no noise.wav,दाव विक्किले तबाव।,Success
person_4_tel kati baki cha - far.wav,तेल कोडि बागी जा।,Success
person_6_1c.wav,1 kg chaamal,Success
Nahiti Batukvairab Marga 43.m4a,बिसकित भीस पैकेट कटा हुँ,Success
Anda kati baki 1.mp3,अन्दा कोती बागी शा.,Success
person_1_दाल एक किलो बेच - Noise.wav,दाल एक किलो देज़ब।,Success
Nahiti Batukvairab Marga 57.m4a,ये साप पॉतिस्किनो तपा,Success
Besar thapa noise.m4a,एसा पात्सुस्कि लोड़ाबाद।,Success
person_8_chamal3.wav,चामाल एक तिलो बेच।,Success
person_7_22y.wav,दाल एक किलो बेचा,Success
person_3_13.1.wav,चुह निये कोटी बाखी न तुर 然後 भुलुं गदा,Success
person_5_Nun becha noise.wav,नुइ अइक्टिना वेजिन।,Success
person_2_13.1.wav,जीनी कोती बाकी छो?,Success
Besar thapau5.m4a,पेसार पौच्छीस किरो गाता हूँ,Success
person_1_नुन कति बाँकी छ - Mic_s far away.wav,नून कती बाकी छो?,Success
Besar kati baki 1.mp3,बिसर कोटी बाखी छो?,Success
person_3_11.3.wav,तेल एक लिटार बेजा,Success
person_2_11.3.wav,तेल एक लिटर बेचाओ,Success
Besar baaki5(1).m4a,बेसार कती पाकी छोग,Success
Biscuit ghatau 1.mp3,बिस्किट 20 पाकिट कोता।,Success
person_2_11.2.wav,एक लिटर तेल भेचाओ,Success
"13 Feb, 22.39​(7).wav",अड़ा पन्रोवरा तबा,Success
"person_8_tel4,.wav",तेल एक किल्यों बढ़ाँ,Success
person_3_11.2.wav,तेल एक लिटर बेजा,Success
person_1_चीनी एक किलो घटाउ - Mic_s far away.wav,큿ी 1 securing,Success
person_5_Chini thapa normal.wav,जी नी एक छी लू धाबा,Success
"13 Feb, 22.34​(9).wav",बेसार कती बागी था?,Success
Besar thapau4.m4a,बेसार पचिस किलो घाता हूँ,Success
person_7_55z.wav,1 kg कटाओ,Success
person_7_22x.wav,दाल एक किलो थापा,Success
Chiura ghatau 1.mp3,चीव्रा 5 किलो गटाउ,Success
Anda thapa1(1).m4a,अण्डा पंद्र अडद तपा,Success
person_8_chamal2.wav,सामालेक्किलो थर्प।,Success
person_1_चीनी एक किलो बेच - Clear.wav,सि Denni Ek Kiloo Bite,Success
Nahiti Batukvairab Marga 56.m4a,पेसार कटी बाकी छा?,Success
Nahiti Batukvairab Marga 42.m4a,बिस्किर बीस्पाकेर कटाओ।,Success
person_4_chamal Kati baki cha - far.wav,चामुल कोटी बाकी जो,Success
person_4_nun tjapa- noise.wav,नूँइट ब्लो धबा,Success
person_6_1b.wav,चामल एक किलो थप,Success
Besar bechey5(1).m4a,बेसार पचिस किलो बेचे,Success
person_2_9.1.wav,तेल कती बाकी था?,Success
Besar thapa3(1).m4a,भेशार पौचिस किलो धपा,Success
Besar ghatau 1.m4a,बिस्कृट बीस्पाकेट काता हूँ,Success
person_5_Nun kati baki noise copy.wav,अनुन कती बाटी जहाँ?,Success
person_1_तेल कति बाँकी छ - Mic_s far away.wav,तेल कोटी बागी छाँ?,Success
person_8_chamel4.wav,चामाल एक किलो गटाउ,Success
Chiura beche noise.m4a,चुडा पाथ किलोबीतें,Success
Anda baki12(1).m4a,अंडा कोती बाकी छो?,Success
